DisplayName,InternalName,Type,Required,Hidden,Choices,Description,DefaultValue,Group,ReadOnlyField,MaxLength,LookupList,LookupField
Künstler,K_x00fc_nstler,MultiChoice,False,False,Christoph Sieber | Karen Dahmen | Michael Hatzius | Joyce Ilg | Martin Maier-Bode | Philip Simon | Tobi Hebbelmann | Till Menzer | Sarah Bosetti | Jess Jochimsen | Ralf Senkel | Torsten Sträter | Abdelkarim | Lisa Feller | Meltem Kaptan | Daphne de Luxe | Simon Pearce | Johann König | Michael Mittermeier | Kawus Kalantar | Anissa Loucif | Lara Ermer | Maxi Gstettenbauer | Katie Freudenschuss | Susanne M. Riedel | Franziska Wanninger | Barbara Ruscher | Christian Schulte-Loh | Michael Altinger | Christian Springer | Berni Wagner | Claudia Pichler | Ingo Appelt | Matthias Deutschmann | Lisa Eckhart | Tobias Mann | Tan Caglar | Teresa Reichl | Das Eich | Suchtpotenzial | Olaf Schubert | Alex Stoldt | Florian Hacke | Mackefisch | Yorick Thiede | Markus Barth | Matthias Ludwig | Julia Brandner | Jonas Imam | Maria Clara Groppler | Samuel Sibliski | Abdel Boudii | Nico Stank | Laura Brümmer | Costa Meronianakis | Salim Samatou | Marvin Endres | Christin Jugsch | Sabine Domogala | Johann Wack | Carmela de Feo | Wilfried Schmickler | Eva Eiselt | Stefan Danziger | Dieter Nuhr | Alfred Dorfer | Mirja Boes | Tutty Tran | Markus Krebs | Dietmar Wischmeyer | Kristina Bogansky | Frank-Markus Barwasser | Erwin Pelzig | Eva Karl Faltermeier | Bülent Ceylan | Andreas Rebers | Helene Bockhorst | Freddy Ekué | Ana Lucía | John Smile | Timur Turga | Nicole Jäger | Tim Whelan | Reeze | Robby Hunke | Marvin Hoffmann | Yalcin Norton | David Mellein | Tony Bauer | René Sydow | Mathias Tretter | Christl Sittenauer | Anny Hartmann | Vera Deckers | Sybille Bullatschek | Anna Mateur | Jane Mumford | Alice Köfer | Lena Kupke | Leila Ladari | Mai My | Lea Hieronymus | Osan Yaran | Coremy | Tommy Jaud | Patrick Neederkorn | Luisa Charlotte Schulz | Negah Amiri | Mirja Regensburg | Matthias Albus | Giada Severini | Fred Costea | Martin Frank | Hans Talhammer | Florentine Osche | Max Osswald | Lukas Boborzi | Moritz Neumeier | Filiz Tasdan | Till Reiners | Tereza Hossa | Ingrid Kühne | Patti Basler | Die Nowak | Neo | Maria Ziffy | Saskia Fröhlich | Matilde Keizer | Pam Pengco | Simone Solga | Frank Lüdecke | Fabian Lampert | Philipp Schlüter | Simon Stäblein | Okan Seese | HalidTV | Daniel Wolfson | Fabio Landert | Johannes Floehr | Thomas Schmidt | Lukas Bendig | Alina Khani | Pegah Meggendorfer | Robert Alan | Mathias Albus | Tina Chau | Chris Olson | Elizaveta Akhler | Alain Frei | Johannes Schröder | Herr Schröder | Hennes Bender | Anne Folger | Quichotte | Philipp Scharrenberg | Dirk Stermann | Vince Ebert | Benedikt Mitmannsgruber | Martin Zingsheim | Lars Reichow | Sebastian 23 | Kathi Wolf | Frau Rotkohl | Nils Heinrich | Jürgen Becker | Nessi Tausendschön | Timo Wopp | Auswahl 168 | C. Heiland | Fee Badenius | Susanne Pätzold | Miss Allie | Frieda Braun | Anna Bartling | Sebastian Maschuw | Thomas Poppe | Chris Tall | Enissa Amani | Marco Gianni | Felix Lobrecht | Kaya Yanar | Carolin Kebekus | Dave Davis | Katrin Bauerfeind | Guido Cantz | André Herrmann | FALK | Jan van Weyde | Rolf Miller | Alfons | Christine Eixenberger | Elissa Hamurcu | Christoph Fritz | Lisandra Bardél | Hazel Brugger | Fabian Rashagai | Serdar Karibik | Hape Kerkeling | Gerburg Jahnke | Aurel Merz | Gayle Tufts | Tina Teubner | Missfits | Malarina Märchen | Mateo Gudenrath | Assane | Kiko | Hinnerk Köhn | Yannick de la Pêche | Sezer Oglu | Tamika Campbell | Sonja Pikart | Platzhalter YouTube | Thomas Poppe | Sebastian Maschuw,,,Benutzerdefinierte Spalten,False,,,
LRA,Folge_x003a__x0020_LRA_x0020_Ber,Lookup,True,False,,,,Benutzerdefinierte Spalten,True,,08c76ffb-e10b-4158-92b5-73a509a221cc,LRA_x0020_Berechnet
Photoshop,Photoshop,Text,False,False,,,,Benutzerdefinierte Spalten,False,255,,
Producer,Producer,UserMulti,False,False,,,,Benutzerdefinierte Spalten,False,,{6ec1c308-b423-4560-afaf-975bceeea128},
ProducingStand,Bearbeitungsstautus,Choice,False,False,Entwurf | In Bearbeitung | Abnahmebereit | Künstlerfreigabe | Fertig | ❗Siehe Anmerkung Producer | Gesperrt | Archiviert,,In Bearbeitung,Benutzerdefinierte Spalten,False,,,
Rechte bis,Folge_x003a__x0020_Rechte_x0020_0,Lookup,True,False,,,,Benutzerdefinierte Spalten,True,,08c76ffb-e10b-4158-92b5-73a509a221cc,field_3
Rechte von,Folge_x003a__x0020_Rechte_x0020_,Lookup,True,False,,,,Benutzerdefinierte Spalten,True,,08c76ffb-e10b-4158-92b5-73a509a221cc,field_2
Redaktion / Ansprechpartner:in,Folge_x003a__x0020_Redaktion_x00,Lookup,True,False,,,,Benutzerdefinierte Spalten,True,,08c76ffb-e10b-4158-92b5-73a509a221cc,field_13
Reel-Thumbnail,Insta_x002d_Thumbnail,Thumbnail,False,False,,,,Benutzerdefinierte Spalten,False,,,
Scoopa,Folge_x003a__x0020_Scoopa,Lookup,True,False,,,,Benutzerdefinierte Spalten,True,,08c76ffb-e10b-4158-92b5-73a509a221cc,Scoopa0
